cve_est,cve_mun,,Cluster
1,1,0,2
1,2,0,2
1,3,0,2
1,4,0,2
1,5,0,2
1,6,0,2
1,7,0,2
1,9,0,2
1,10,0,2
1,11,0,2
2,1,0,2
2,2,0,2
2,3,0,2
2,4,0,2
2,5,0,2
3,1,0,2
3,2,0,2
3,3,0,2
3,8,0,2
3,9,0,2
4,1,0,2
4,2,0,2
4,3,0,2
4,4,0,2
4,5,0,2
4,6,0,2
4,9,0,2
4,10,0,2
4,11,0,2
5,2,0,2
5,7,0,2
5,9,0,2
5,10,0,0
5,14,0,2
5,17,0,3
5,18,0,3
5,20,0,3
5,22,0,3
5,24,0,3
5,25,0,3
5,27,0,3
5,28,0,3
5,30,0,3
5,31,0,3
5,32,0,3
5,33,0,3
5,35,0,3
5,36,0,3
5,37,0,3
6,1,0,2
6,2,0,1
6,3,0,2
6,4,0,2
6,5,0,2
6,6,0,2
6,7,0,0
6,8,0,2
6,9,0,2
6,10,0,0
7,2,0,2
7,3,0,2
7,4,0,2
7,6,0,2
7,9,0,2
7,11,0,2
7,12,0,2
7,17,0,0
7,19,0,3
7,21,0,3
7,25,0,3
7,27,0,3
7,29,0,3
7,32,0,3
7,34,0,3
7,40,0,3
7,41,0,3
7,46,0,3
7,47,0,3
7,51,0,3
7,52,0,3
7,59,0,3
7,61,0,3
7,65,0,3
7,74,0,3
7,78,0,3
7,85,0,3
7,86,0,3
7,89,0,3
7,92,0,3
7,93,0,3
7,94,0,3
7,97,0,3
7,101,0,3
7,102,0,3
7,105,0,3
7,106,0,3
7,107,0,3
7,108,0,3
7,109,0,3
7,111,0,3
7,112,0,3
7,114,0,3
7,116,0,3
8,5,0,2
8,6,0,2
8,9,0,2
8,10,0,2
8,11,0,2
8,17,0,0
8,18,0,0
8,19,0,3
8,21,0,3
8,22,0,3
8,24,0,3
8,29,0,3
8,32,0,3
8,35,0,3
8,36,0,3
8,37,0,3
8,40,0,3
8,48,0,3
8,52,0,3
9,2,0,1
9,3,0,1
9,4,0,1
9,5,0,1
9,6,0,1
9,7,0,1
9,8,0,0
9,9,0,2
9,10,0,0
9,11,0,0
9,12,0,0
9,13,0,0
9,14,0,0
9,15,0,0
9,16,0,0
9,17,0,0
10,3,0,2
10,4,0,2
10,5,0,1
10,6,0,2
10,7,0,1
10,8,0,2
10,12,0,0
10,14,0,0
10,14,1,2
10,15,0,0
10,16,0,0
10,20,0,0
10,21,0,0
10,22,0,0
10,23,0,0
10,24,0,0
10,24,1,3
10,27,0,3
10,29,0,3
10,32,0,3
10,36,0,3
10,38,0,3
10,39,0,3
11,2,0,2
11,3,0,2
11,4,0,2
11,5,0,2
11,7,0,1
11,11,0,2
11,14,0,0
11,15,0,0
11,17,0,0
11,18,0,0
11,20,0,0
11,22,0,0
11,23,0,0
11,25,0,3
11,27,0,3
11,28,0,3
11,31,0,3
11,32,0,3
11,33,0,3
11,35,0,3
11,37,0,3
11,39,0,3
11,41,0,3
11,42,0,3
11,44,0,3
11,46,0,3
12,1,0,1
12,3,0,2
12,6,0,2
12,7,0,2
12,10,0,2
12,11,0,2
12,13,0,0
12,13,1,2
12,15,0,0
12,21,0,0
12,22,0,0
12,25,0,0
12,29,0,3
12,30,0,3
